endpoint,allowed_http_methods,argument_count,arguments,return_type,auto_settings_capable,permissions_required,has_doc_string
get_server_name_change_config,GET,0,,<class 'rcon.user_config.gtx_server_name.GtxServerNameChangeUserConfig'>,true,api.get_server_name_change_config,false
get_server_settings,GET,0,,,true,api.can_view_autobalance_enabled|api.can_view_autobalance_threshold|api.can_view_idle_autokick_time|api.can_view_max_ping_autokick|api.can_view_queue_length|api.can_view_team_switch_cooldown|api.can_view_vip_slots|api.can_view_votekick_enabled|api.can_view_votekick_threshold,false
get_services,GET,0,,,false,api.can_view_available_services,false
get_slots,GET,0,,<class 'rcon.types.SlotsType'>,true,api.can_view_player_slots,true
get_standard_broadcast_messages,GET,0,,<class 'rcon.user_config.standard_messages.StandardBroadcastMessagesUserConfig'>,true,api.can_view_standard_broadcast_messages,false
get_standard_punishments_messages,GET,0,,<class 'rcon.user_config.standard_messages.StandardPunishmentMessagesUserConfig'>,true,api.can_view_standard_punishment_messages,false
get_standard_welcome_messages,GET,0,,<class 'rcon.user_config.standard_messages.StandardWelcomeMessagesUserConfig'>,true,api.can_view_standard_welcome_messages,false
get_status,GET,0,,<class 'rcon.types.StatusType'>,true,api.can_view_get_status,false
get_steam_config,GET,0,,<class 'rcon.user_config.steam.SteamUserConfig'>,true,api.can_view_steam_config,false
get_structured_logs,GET,3,since_min_ago|filter_action|filter_player,<class 'rcon.types.ParsedLogsType'>,true,api.can_view_structured_logs,false
get_system_usage,GET,0,,,false,,false
get_team_objective_scores,GET,0,,"tuple[int, int]",true,api.can_view_team_objective_scores,true
get_team_switch_cooldown,GET,0,,<class 'int'>,true,api.can_view_team_switch_cooldown,false
get_team_view,GET,0,,,true,api.can_view_team_view,false
get_temp_bans,GET,0,,list[rcon.types.GameServerBanType],true,api.can_view_temp_bans,false
get_tk_ban_on_connect_config,GET,0,,<class 'rcon.user_config.ban_tk_on_connect.BanTeamKillOnConnectUserConfig'>,true,api.can_view_tk_ban_on_connect_config,false
get_vac_game_bans_config,GET,0,,<class 'rcon.user_config.vac_game_bans.VacGameBansUserConfig'>,true,api.can_view_vac_game_bans_config,false
get_version,GET,0,,,false,,false
get_vip_ids,GET,0,,list[rcon.types.VipIdType],true,api.can_view_vip_ids,false
get_vip_slots_num,GET,0,,<class 'int'>,true,api.can_view_vip_slots,false
get_vips_count,GET,0,,<class 'int'>,true,api.can_view_vip_count,false
get_votekick_autotoggle_config,GET,0,,<class 'rcon.user_config.auto_kick.AutoVoteKickUserConfig'>,true,api.can_view_votekick_autotoggle_config,false
get_votekick_enabled,GET,0,,<class 'bool'>,true,api.can_view_votekick_enabled,false
get_votekick_thresholds,GET,0,,list[list[int]],true,api.can_view_votekick_threshold,false
get_votemap_config,GET,0,,<class 'rcon.user_config.vote_map.VoteMapUserConfig'>,true,api.can_view_votemap_config,false
get_votemap_status,GET,0,,list[rcon.types.VoteMapStatusType],true,api.can_view_votemap_status,false
get_votemap_whitelist,GET,0,,list[str],true,api.can_view_map_whitelist,false
get_watch_killrate_config,GET,0,,,true,api.can_view_watch_killrate_config,false
get_watchlist_discord_webhooks_config,GET,0,,<class 'rcon.user_config.webhooks.WatchlistWebhooksUserConfig'>,true,api.can_view_watchlist_discord_webhooks_config,false
get_webhook_queue_overview,GET,1,queue_id,rcon.webhook_service.QueueStatus | None,true,api.can_view_webhook_queues,false
get_webhook_service_summary,GET,0,,,true,api.can_view_webhook_queues,true
get_welcome_message,GET,0,,,true,api.can_view_welcome_message,false
is_logged_in,GET,0,,,false,,false
kick,POST,4,player_id|reason|by|player_name,<class 'bool'>,true,api.can_kick_players,false
login,POST,0,,,false,,false
logout,GET|POST,0,,,false,,false
message_all_players,POST,1,message,<class 'bool'>,true,api.can_message_players,false
message_player,POST,5,player_id|message|by|save_message|player_name,<class 'bool'>,true,api.can_message_players,false
perma_ban,POST,4,player_id|reason|by|player_name,<class 'bool'>,true,api.can_perma_ban_players,false
post_player_comment,POST,3,player_id|comment|by,,true,api.can_add_player_comments,false
punish,POST,4,player_id|reason|by|player_name,<class 'bool'>,true,api.can_punish_players,false
reconnect_gameserver,POST,0,,,false,api.can_restart_webserver,true
remove_admin,POST,1,player_id,<class 'bool'>,true,api.can_remove_admin_roles,false
remove_all_vips,POST,0,,<class 'bool'>,true,api.can_remove_all_vips,false
remove_map_from_rotation,POST,1,map_name,,true,api.can_remove_map_from_rotation,false
remove_map_from_votemap_whitelist,POST,1,map_name,,true,api.can_remove_map_from_whitelist,false
remove_maps_from_rotation,POST,1,map_names,,true,api.can_remove_maps_from_rotation,false
remove_maps_from_votemap_whitelist,POST,1,map_names,,true,api.can_remove_maps_from_whitelist,false
remove_match_timer,POST,1,game_mode,,true,api.can_remove_match_timer,false
remove_perma_ban,POST,1,player_id,<class 'bool'>,true,api.can_remove_perma_bans,true
remove_player_from_squad,POST,2,player_id|reason,None,true,api.can_remove_player_from_squad,false
remove_temp_ban,POST,1,player_id,<class 'bool'>,true,api.can_remove_temp_bans,true
remove_vip,POST,1,player_id,<class 'bool'>,true,api.can_remove_vip,true
remove_warmup_timer,POST,1,game_mode,,true,api.can_remove_warmup_timer,false
reset_all_webhook_queues_for_server_number,POST,1,server_number,<class 'int'>,true,api.can_change_webhook_queues,true
reset_map_votemap_whitelist,POST,0,,,true,api.can_reset_map_whitelist,false
